Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
bmw 116 d advantage,16690,bmw,diesel,186347,1496,116,compact,manual,2016
porsche panamera platinum edition,49850,porsche,diesel,167000,2967,250,sedan,automatic,2013
bmw 320 d touring navigation,11800,bmw,diesel,260000,1995,177,combi,manual,2009
mercedesbenz e 250 amg,53999,mercedes-benz,diesel,120000,1950,245,sedan,automatic,2019
mercedesbenz e 300 de avantgarde,52900,mercedes-benz,hibride-diesel,42000,1950,306,combi,automatic,2019
fiat freemont 2 0 mjet cross,14990,fiat,diesel,240000,1956,170,minivan,manual,2016
renault grand scnic 1 5 dci dynamique s 7l,7490,renault,diesel,260000,1461,110,minivan,manual,2012
audi a5 sportback 40 tdi s tronic,42750,audi,diesel,85000,1968,190,sedan,automatic,2019
vw golf 1 6 tdi trendline bluemotion,8250,vw,diesel,258000,1598,105,city-car,manual,2010
peugeot 208 1 4 hdi access,11500,peugeot,diesel,245592,1398,68,city-car,manual,2013
jaguar xf,16250,jaguar,diesel,286000,2993,240,sedan,automatic,2010
bentley flying spur v8,137500,bentley,gaz,21000,3993,507,sedan,automatic,2015
renault clio 1 5 dci limited,13900,renault,diesel,157626,1461,90,combi,manual,2019
peugeot 508 sw,31900,peugeot,diesel,103000,1498,130,combi,automatic,2019
alfa romeo mito 1 3 jtd progression 5kq,6450,alfa-romeo,diesel,222000,1248,95,compact,manual,2011
mercedesbenz a 45 amg 4matic,66990,mercedes-benz,gaz,5402,1991,388,compact,automatic,2020
mazda mx5 1 6,11400,mazda,gaz,200000,1598,120,cabrio,manual,1990
volvo v50 1 6 d nvel 2,5950,volvo,diesel,224000,1560,109,combi,manual,2007
mercedesbenz c 180 d avantgarde aut,35900,mercedes-benz,diesel,48432,1598,122,combi,automatic,2019
opel astra caravan 1 7 cdti cosmo,5990,opel,diesel,268411,1686,125,combi,manual,2008
mercedesbenz a 180 amg line aut,30900,mercedes-benz,gaz,113000,1332,136,sedan,automatic,2019
fiat 500 0 9 8v twinair lounge,7450,fiat,gaz,153000,875,85,mini,manual,2011
alfa romeo 4c spider 1750 tbi,69950,alfa-romeo,gaz,4000,1742,240,cabrio,automatic,2017
volvo v60 2 0 d4 inscription,39800,volvo,diesel,70000,1969,190,combi,manual,2018
smart forfour electric drive passion,16900,smart,electric,39922,400,82,city-car,automatic,2018
